-16,4,57
-21,8,56
-9,2,61
3,11,65
-12,7,60
-24,-5,65
-8,11,65
-10,3,53
-7,3,56
-6,6,61
-5,6,60
-1,5,64
-4,5,65
-4,9,63
-9,5,64
-9,5,63
-6,6,61
-9,4,59
-1,8,67
4,9,66
3,14,63
9,19,74
30,20,61
-8,23,69
-23,11,57
-18,-3,60
-15,-6,58
-11,-13,58
-12,-17,63
-11,-16,68
-9,-16,66
-6,-16,66
-4,-13,64
-4,-12,62
-4,-9,62
-5,-6,63
-5,-6,63
-7,-2,64
-7,-1,64
-5,-1,62
-5,-1,64
-2,-5,62
-5,-10,59
-9,-14,59
-12,-25,57
-16,-28,58
-23,-31,55
-28,-30,61
-28,-28,60
-25,-27,60
-22,-25,64
-20,-21,60
-20,-16,63
-14,-15,62
-10,-14,63
0,-11,54
6,-9,54
12,-6,56
-5,-3,68
-14,13,111
14,-21,57
3,-30,45
-15,-12,58
-21,-14,48
-3,-6,62
-13,-17,57
-16,-15,56
-3,-12,71
-2,-14,68
-15,-6,65
-9,-8,65
0,-6,63
0,-9,59
1,-8,62
-2,-7,73
-3,-7,74
-13,-10,58
-15,-10,66
-16,-7,61
-20,-9,50
-21,-7,53
-18,-14,40
-14,-12,45
-22,-6,55
-12,-7,60
-9,1,67
1,9,73
4,13,83
-13,9,71
-14,5,63
-13,2,50
-14,6,74
-10,5,73
-10,8,64
-15,7,59
-18,5,57
-18,7,63
-22,10,60
-28,11,53
-19,8,56
-21,11,62
-20,11,61
-21,9,64
-20,8,71
-15,8,71
-16,7,64
-13,5,56
-15,7,58
-17,6,61
-13,12,77
-14,7,72
-12,5,63
-17,3,58
-10,0,58
-17,0,51
-12,0,57
-17,3,59
-15,3,57
-13,4,63
-10,5,67
-7,5,69
-4,2,66
-11,2,63
-18,-2,54
-15,1,59
-14,1,62
-13,1,63
-11,-2,62
-9,-3,63
-20,-3,65
-9,-1,63
-11,0,64
-12,-5,60
-11,-3,61
-10,-4,60
-12,-3,64
-11,-3,65
